Country,Code,Year,Start Month,Start Day,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),Consumer Price Index (CPI)
Australia,AUS,1960,3,1,5,31,3/1/1960,5/31/1960,3/1/1960,5/31/1960,7.5
Australia,AUS,1960,6,1,8,31,6/1/1960,8/31/1960,6/1/1960,8/31/1960,7.6
Australia,AUS,1960,9,1,11,30,9/1/1960,11/30/1960,9/1/1960,11/30/1960,7.7
Australia,AUS,1960,12,1,2,29,12/1/1960,2/29/1960,12/1/1960,2/29/1960,7.8
Australia,AUS,1961,3,1,5,31,3/1/1961,5/31/1961,3/1/1961,5/31/1961,7.8
Australia,AUS,1961,6,1,8,31,6/1/1961,8/31/1961,6/1/1961,8/31/1961,7.9
Australia,AUS,1961,9,1,11,30,9/1/1961,11/30/1961,9/1/1961,11/30/1961,7.8
Australia,AUS,1961,12,1,2,28,12/1/1961,2/28/1961,12/1/1961,2/28/1961,7.8
Australia,AUS,1962,3,1,5,31,3/1/1962,5/31/1962,3/1/1962,5/31/1962,7.8
Australia,AUS,1962,6,1,8,31,6/1/1962,8/31/1962,6/1/1962,8/31/1962,7.8
Australia,AUS,1962,9,1,11,30,9/1/1962,11/30/1962,9/3/1962,11/30/1962,7.8
Australia,AUS,1962,12,1,2,28,12/1/1962,2/28/1962,12/3/1962,2/28/1962,7.8
Australia,AUS,1963,3,1,5,31,3/1/1963,5/31/1963,3/1/1963,5/31/1963,7.8
Australia,AUS,1963,6,1,8,31,6/1/1963,8/31/1963,6/3/1963,8/30/1963,7.8
Australia,AUS,1963,9,1,11,30,9/1/1963,11/30/1963,9/2/1963,11/29/1963,7.9
Australia,AUS,1963,12,1,2,28,12/1/1963,2/28/1963,12/2/1963,2/28/1963,7.9
Australia,AUS,1964,3,1,5,31,3/1/1964,5/31/1964,3/2/1964,5/29/1964,8
Australia,AUS,1964,6,1,8,31,6/1/1964,8/31/1964,6/1/1964,8/31/1964,8
Australia,AUS,1964,9,1,11,30,9/1/1964,11/30/1964,9/1/1964,11/30/1964,8.1
Australia,AUS,1964,12,1,2,29,12/1/1964,2/29/1964,12/1/1964,2/28/1964,8.2
Australia,AUS,1965,3,1,5,31,3/1/1965,5/31/1965,3/1/1965,5/31/1965,8.2
Australia,AUS,1965,6,1,8,31,6/1/1965,8/31/1965,6/1/1965,8/31/1965,8.3
Australia,AUS,1965,9,1,11,30,9/1/1965,11/30/1965,9/1/1965,11/30/1965,8.4
Australia,AUS,1965,12,1,2,28,12/1/1965,2/28/1965,12/1/1965,2/26/1965,8.5
Australia,AUS,1966,3,1,5,31,3/1/1966,5/31/1966,3/1/1966,5/31/1966,8.6
Australia,AUS,1966,6,1,8,31,6/1/1966,8/31/1966,6/1/1966,8/31/1966,8.6
Australia,AUS,1966,9,1,11,30,9/1/1966,11/30/1966,9/1/1966,11/30/1966,8.6
Australia,AUS,1966,12,1,2,28,12/1/1966,2/28/1966,12/1/1966,2/28/1966,8.7
Australia,AUS,1967,3,1,5,31,3/1/1967,5/31/1967,3/1/1967,5/31/1967,8.8
Australia,AUS,1967,6,1,8,31,6/1/1967,8/31/1967,6/1/1967,8/31/1967,8.9
Australia,AUS,1967,9,1,11,30,9/1/1967,11/30/1967,9/1/1967,11/30/1967,9
Australia,AUS,1967,12,1,2,28,12/1/1967,2/28/1967,12/1/1967,2/28/1967,9
Australia,AUS,1968,3,1,5,31,3/1/1968,5/31/1968,3/1/1968,5/31/1968,9.1
Australia,AUS,1968,6,1,8,31,6/1/1968,8/31/1968,6/3/1968,8/30/1968,9.1
Australia,AUS,1968,9,1,11,30,9/1/1968,11/30/1968,9/2/1968,11/29/1968,9.2
Australia,AUS,1968,12,1,2,29,12/1/1968,2/29/1968,12/2/1968,2/29/1968,9.2
Australia,AUS,1969,3,1,5,31,3/1/1969,5/31/1969,3/3/1969,5/30/1969,9.4
Australia,AUS,1969,6,1,8,31,6/1/1969,8/31/1969,6/2/1969,8/29/1969,9.4
Australia,AUS,1969,9,1,11,30,9/1/1969,11/30/1969,9/1/1969,11/28/1969,9.5
Australia,AUS,1969,12,1,2,28,12/1/1969,2/28/1969,12/1/1969,2/28/1969,9.5
Australia,AUS,1970,3,1,5,31,3/1/1970,5/31/1970,3/2/1970,5/29/1970,9.6
Australia,AUS,1970,6,1,8,31,6/1/1970,8/31/1970,6/1/1970,8/31/1970,9.7
Australia,AUS,1970,9,1,11,30,9/1/1970,11/30/1970,9/1/1970,11/30/1970,9.8
Australia,AUS,1970,12,1,2,28,12/1/1970,2/28/1970,12/1/1970,2/27/1970,10
Australia,AUS,1971,3,1,5,31,3/1/1971,5/31/1971,3/1/1971,5/31/1971,10.1
Australia,AUS,1971,6,1,8,31,6/1/1971,8/31/1971,6/1/1971,8/31/1971,10.2
Australia,AUS,1971,9,1,11,30,9/1/1971,11/30/1971,9/1/1971,11/30/1971,10.5
Australia,AUS,1971,12,1,2,28,12/1/1971,2/28/1971,12/1/1971,2/26/1971,10.7
Australia,AUS,1972,3,1,5,31,3/1/1972,5/31/1972,3/1/1972,5/31/1972,10.8
