Year,Quarter,Start Month,Start Day,End Month ,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),Start Date (String),End Date (String),Gold Reserves
2000,Q1,1,1,3,31,1/1/2000,3/31/2000,01-03,03-31,01-03,03-30,"529,358,570.3"
2000,Q2,4,1,6,30,4/1/2000,6/30/2000,04-03,06-30,04-03,06-29,"561,545,080.9"
2000,Q3,7,1,9,30,7/1/2000,9/30/2000,07-03,09-29,07-03,09-29,"536,461,693.9"
2000,Q4,10,1,12,31,10/1/2000,12/31/2000,10-02,12-29,10-02,12-29,"556,432,933.6"
2001,Q1,1,1,3,31,1/1/2001,3/31/2001,01-01,03-30,01-02,03-30,"520,817,360.6"
2001,Q2,4,1,6,30,4/1/2001,6/30/2001,04-02,06-29,04-02,06-29,"548,480,469.7"
2001,Q3,7,1,9,30,7/1/2001,9/30/2001,07-02,09-28,07-02,09-28,"625,679,131.4"
2001,Q4,10,1,12,31,10/1/2001,12/31/2001,10-01,12-31,10-02,12-28,"595,071,978.2"
2002,Q1,1,1,3,31,1/1/2002,3/31/2002,01-01,03-29,01-02,03-29,"658,678,522.2"
2002,Q2,4,1,6,30,4/1/2002,6/30/2002,04-01,06-28,04-02,06-28,"749,629,060.1"
2002,Q3,7,1,9,30,7/1/2002,9/30/2002,07-01,09-30,07-02,09-27,"786,026,180.7"
2002,Q4,10,1,12,31,10/1/2002,12/31/2002,10-01,12-31,10-02,12-30,"879,161,593.7"
2003,Q1,1,1,3,31,1/1/2003,3/31/2003,01-01,03-31,01-02,03-28,"880,563,608.1"
2003,Q2,4,1,6,30,4/1/2003,6/30/2003,04-01,06-30,04-02,06-27,"970,408,427.0"
2003,Q3,7,1,9,30,7/1/2003,9/30/2003,07-01,09-30,07-02,09-29,"1,152,614,868.0"
2003,Q4,10,1,12,31,10/1/2003,12/31/2003,10-01,12-31,10-02,12-30,"1,315,986,896.2"
2004,Q1,1,1,3,31,1/1/2004,3/31/2004,01-01,03-31,01-02,03-30,"1,452,575,105.2"
2004,Q2,4,1,6,30,4/1/2004,6/30/2004,04-01,06-30,04-02,06-29,"1,372,637,907.6"
2004,Q3,7,1,9,30,7/1/2004,9/30/2004,07-01,09-30,07-02,09-29,"1,481,298,858.4"
2004,Q4,10,1,12,31,10/1/2004,12/31/2004,10-01,12-31,10-04,12-30,"1,687,729,277.5"
2005,Q1,1,1,3,31,1/1/2005,3/31/2005,01-03,03-31,01-03,03-30,"1,731,473,440.6"
2005,Q2,4,1,6,30,4/1/2005,6/30/2005,04-01,06-30,04-04,06-29,"1,811,170,223.8"
2005,Q3,7,1,9,30,7/1/2005,9/30/2005,07-01,09-30,07-04,09-29,"2,014,362,054.8"
2005,Q4,10,1,12,31,10/1/2005,12/31/2005,10-03,12-30,10-03,12-30,"2,254,456,576.1"
2006,Q1,1,1,3,31,1/1/2006,3/31/2006,01-02,03-31,01-02,03-30,"2,672,604,356.1"
2006,Q2,4,1,6,30,4/1/2006,6/30/2006,04-03,06-30,04-03,06-29,"2,964,936,698.6"
2006,Q3,7,1,9,30,7/1/2006,9/30/2006,07-03,09-29,07-03,09-29,"3,008,993,773.7"
2006,Q4,10,1,12,31,10/1/2006,12/31/2006,10-02,12-29,10-02,12-29,"3,360,632,394.5"
2007,Q1,1,1,3,31,1/1/2007,3/31/2007,01-01,03-30,01-02,03-30,"3,740,214,448.4"
2007,Q2,4,1,6,30,4/1/2007,6/30/2007,04-02,06-29,04-02,06-29,"3,922,256,002.1"
2007,Q3,7,1,9,30,7/1/2007,9/30/2007,07-02,09-28,07-02,09-28,"4,728,463,411.9"
2007,Q4,10,1,12,31,10/1/2007,12/31/2007,10-01,12-31,10-02,12-28,"5,643,293,530.9"
2008,Q1,1,1,3,31,1/1/2008,3/31/2008,01-01,03-31,01-02,03-28,"6,823,653,770.4"
2008,Q2,4,1,6,30,4/1/2008,6/30/2008,04-01,06-30,04-02,06-27,"6,998,308,065.0"
2008,Q3,7,1,9,30,7/1/2008,9/30/2008,07-01,09-30,07-02,09-29,"6,683,585,380.6"
